公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
300153,科泰电源,上海科泰电源股份有限公司,"SHANGHAI COOLTECH POWER CO.,LTD.",上海市青浦区张江高新区青浦园天辰路1633号,300153,科泰电源,2010-12-29,"320,000,000","319,516,175",,,,0,0,华东,上海,上海市,C 制造业,www.cooltechsh.com
300154,瑞凌股份,深圳市瑞凌实业股份有限公司,"SHENZHEN RILAND INDUSTRY CO., LTD",广东省深圳市光明新区观光路3009号招商局科技园A3栋C单元207,300154,瑞凌股份,2010-12-29,"447,000,000","313,824,900",,,,0,0,华南,广东,深圳市,C 制造业,www.riland.com.cn
300155,安居宝,广东安居宝数码科技股份有限公司,"GUANGDONG ANJUBAO DIGITAL TECHNOLOGY CO.,LTD.",广东省广州开发区科学城起云路6号,300155,安居宝,2011-01-07,"543,370,602","267,678,717",,,,0,0,华南,广东,广州市,C 制造业,www.anjubao.com
300156,神雾环保,神雾环保技术股份有限公司,"Shenwu Environmental Technology CO.,LTD",北京市朝阳区将台路5号院15号楼C座6层,300156,神雾环保,2011-01-07,"1,010,024,415","654,662,490",,,,0,0,华北,北京,北京市,C 制造业,www.swet.net.cn
300157,恒泰艾普,恒泰艾普石油天然气技术服务股份有限公司,"LandOcean Energy Services Co., LTD.",北京市海淀区丰秀中路3号院4号楼401室,300157,恒泰艾普,2011-01-07,"712,772,080","577,173,852",,,,0,0,华北,北京,北京市,B 采矿业,www.ldocean.com.cn
300158,振东制药,山西振东制药股份有限公司,"Shanxi Zhendong Pharmaceutical Co.,Ltd",山西省长治县光明南路振东科技园,300158,振东制药,2011-01-07,"296,940,000","286,132,637",,,,0,0,华北,山西,长治市,C 制造业,www.zdjt.com
300159,新研股份,新疆机械研究院股份有限公司,"Xinjiang Machinery Research Institute Co.,Ltd",新疆维吾尔自治区乌鲁木齐经济技术开发区融合南路661号,300159,新研股份,2011-01-07,"1,490,360,202","565,457,846",,,,0,0,西北,新疆,乌鲁木齐市,C 制造业,www.xjjxy.com.cn
300160,秀强股份,江苏秀强玻璃工艺股份有限公司,"JIANGSU XIUQIANG GLASSWORK CO., LTD.",江苏省宿迁市宿豫区江山大道28号,300160,秀强股份,2011-01-13,"597,760,000","592,381,114",,,,0,0,华东,江苏,宿迁市,C 制造业,www.jsxq.com
300161,华中数控,武汉华中数控股份有限公司,"Wuhan Huazhong Numerical Control Co.,Ltd.",湖北省武汉市东湖开发区华工科技园,300161,华中数控,2011-01-13,"161,745,000","156,372,415",,,,0,0,华中,湖北,武汉市,C 制造业,www.huazhongcnc.com
300162,雷曼股份,深圳雷曼光电科技股份有限公司,"Ledman Optoelectronic Co.,Ltd.",广东省深圳市南山区松白公路百旺信工业园区二区第八栋,300162,雷曼股份,2011-01-13,"349,787,153","221,933,494",,,,0,0,华南,广东,深圳市,C 制造业,www.ledman.cn
